COMPANY,RANK,RANK_CHANGE,REVENUE,PROFIT,NUM_OF_EMPLOYEES,SECTOR,CITY,STATE,NEWCOMER,CEO_FOUNDER,CEO_WOMAN,PROFITABLE,PREV_RANK,CEO,WEBSITE,TICKER,MARKET_CAP,CEO_NAME,CEO_DOB,DOB_MMDD,DOB_YYYY,MISSING_DOBS,BIRTH_CITY,BIRTH_STATE,ORIGIN_STATE,CURRENT_RESIDENCE,CEO_BACH_MAJOR,CEO_BACH_SCHOOL,CEO_MAST_MAJOR,CEO_MAST_SCHOOL,PHD,DROPPED_OUT,YR_TURNED_CEO,PREVIOUSLY_CEO,SECOND_MAST_MAJOR,SECOND_MAST_SCHOOL,THIRD_MAST_MAJOR,THIRD_MAST_SCHOOL,ZODIAC,AGE,AGE_TURNED_CEO
Texas Instruments,198,12,18344,7769,31000,Technology,Dallas,TX,no,no,no,yes,210,Richard K. Templeton,https://www.ti.com,TXN,169330,Richard K. Templeton,1/1/1958,1/1/2023,11/1/1958,"MMDD missing, default to 1/1",,,,TX,Electrical Engineering,Union College,no,no,no,no,11/1/2004,no,,,,,,65,46
Emerson Electric,199,-18,18236,2303,86700,Industrials,St. Louis,MO,no,no,no,yes,181,S. L. Karsanbhai,https://www.emerson.com,EMR,58242,S. L. Karsanbhai,,,,,,,,MO,Economics,University of Michigan,MBA,"Washington University, St Louis",no,no,11/1/2021,no,,,,,,,
WESCO International,200,45,18218,465,18000,Wholesalers,Pittsburgh,PA,no,no,no,yes,245,John J. Engel,https://www.wesco.com,WCC,6599,John J. Engel,,,,,,,,PA,Mechanical Engineering,Villanova,MBA,University of Rochester,no,no,11/1/2009,no,,,,,,,
General Mills,201,-32,18127,2340,35000,"Food, Beverages & Tobacco",Minneapolis,MN,no,no,no,yes,169,Jeffrey L. Harmening,https://www.generalmills.com,GIS,40782,Jeffrey L. Harmening,,,,,,,IN,MN,Economics,DePauw,MBA,Harvard,no,no,11/1/2017,"yes, of internal subsidiary",,,,,,,
Tenneco,202,-3,18035,35,71000,Motor Vehicles & Parts,Lake Forest,IL,no,no,no,yes,199,Brian J. Kesseler,https://www.tenneco.com,TEN,1523,Brian J. Kesseler,,,,,,,,IL,Finance,Michigan State University,MBA,Baldwin-Wallace College,no,no,11/1/2017,no,,,,,,,
Waste Management,203,-1,17931,1816,48500,Business Services,Houston,TX,no,no,no,yes,202,James C. Fish Jr.,https://www.wm.com,WM,65803,James C. Fish Jr.,,,,,,,TX,TX,Accounting,Arizona State University,MBA,University of Chicago,no,no,11/1/2016,no,,,,,,,
Viatris,204,50,17886,-1269,37000,Health Care,Canonsburg,PA,no,no,no,no,254,Michael Goettler,https://www.viatris.com,VTRS,13160,Michael Goettler,,,,,,Germany,Germany,PA,,"WHU, Otto Beisheim",MBA,"University of Texas, Austin",no,no,11/1/2020,no,,,,,,,
DISH Network,205,-8,17881,2411,14500,Telecommunications,Englewood,CO,no,no,no,yes,197,W. Erik Carlson,https://www.dish.com,DISH,16743,W. Erik Carlson,,,,,,,,CO,,Bradley University,no,no,no,no,11/1/2017,no,,,,,,,
L3Harris Technologies,206,-43,17814,1846,47000,Aerospace & Defense,Melbourne,FL,no,no,no,yes,163,Christopher E. Kubasik,https://www.l3harris.com,LHX,47970,Christopher E. Kubasik,3/26/1961,3/26/2023,11/1/1961,,Cheverly,MD,MD,MD,Accounting,University of Maryland,Advanced Management,Northwestern,no,no,11/1/2021,yes,,,,,Aries,62,60
DXC Technology,207,-55,17729,-149,134000,Technology,Tysons,VA,no,no,no,no,152,Michael J. Salvino,https://www.dxc.technology,DXC,7977,Michael J. Salvino,1/1/1965,1/1/2023,11/1/1965,"MMDD missing, default to 1/1",,,,NC,Industrial Engineering,Marietta College,no,no,honorary,no,11/1/2019,"yes, of internal subsidiary",,,,,,58,54
